sport,country,gold,silver,bronze,total
Swimming,United States,8,13,7,28
Swimming,Australia,7,9,3,19
Swimming,France,4,1,2,7
Swimming,Canada,3,2,3,8
Swimming,Hungary,3,1,1,5
Swimming,China,2,3,7,12
Swimming,Italy,2,1,3,6
Swimming,Sweden,2,0,0,2
Swimming,Germany,1,1,1,3
Swimming,South Africa,1,1,0,2
Swimming,Ireland,1,0,2,3
Swimming,Netherlands,1,0,2,3
Swimming,Romania,1,0,1,2
Swimming,England,0.5,2,0,2.5
Swimming,Scotland,0.25,1,0,1.25
Swimming,Wales,0.25,1,0,1.25
Swimming,Greece,0,1,0,1
Swimming,Japan,0,1,0,1
Swimming,Hong Kong,0,0,2,2
Swimming,South Korea,0,0,1,1
Swimming,Switzerland,0,0,1,1
