sport,country,gold,silver,bronze,total
Athletics,Kenya,7,2,2,11
Athletics,Canada,3,1,1,5
Athletics,Botswana,2,0,1,3
Athletics,New Zealand,2,0,1,3
Athletics,Jamaica,1,6,3,10
Athletics,Australia,1,0,3,4
Athletics,Trinidad and Tobago,1,1,0,2
Athletics,Tanzania,1,0,0,1
Athletics,England,0,2,2,4
Athletics,Dominica,0,1,0,1
Athletics,Grenada,0,1,0,1
Athletics,Nigeria,0,1,0,1
Athletics,Scotland,0,1,0,1
Athletics,Northern Ireland,0,1,0,1
Athletics,Samoa,0,0,1,1
Athletics,Saint Lucia,0,0,1,1
Athletics,South Africa,0,0,1,1
